자치구별,평당 가격,출산율,출산율*2000
강남구,4231.529858,0.802,1604
서초구,3644.92248,0.928,1856
송파구,3075.549171,0.958,1916
용산구,3005.28824,0.907,1814
마포구,2421.139556,0.945,1890
성동구,2373.886379,1.013,2026
광진구,2356.425984,0.867,1734
강동구,2280.171721,0.938,1876
동작구,2249.524061,0.912,1824
중구,2246.487535,0.974,1948
양천구,2165.85376,1.008,2016
종로구,2140.127767,0.784,1568
영등포구,2069.256345,1.011,2022
강서구,1917.950887,1.059,2118
서대문구,1844.247881,0.934,1868
동대문구,1827.258278,0.889,1778
관악구,1791.182403,0.777,1554
성북구,1777.208229,0.909,1818
은평구,1706.139194,0.943,1886
구로구,1662.141313,1.07,2140
노원구,1613.569067,1.068,2136
강북구,1586.405329,0.878,1756
중랑구,1555.017316,0.995,1990
금천구,1476.847311,0.944,1888
도봉구,1425.728276,0.947,1894
