시군구별,SGG_NM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,평균혼인율
종로구,11010,8.3,7.7,7.5,7.5,6.6,6.7,6.2,7,6.4,5.6,6.1,6.5,6.2,5.6,5.5,5.3,5.1,4.7,4.6,4,3.9,3.3,3.5,,6.081818182
중구,11020,8.4,8.4,7,7.1,7.6,6.9,7.9,8.1,7.6,7,8.1,7.1,8,6.7,6.8,7.5,6.6,6.5,6.4,5.9,5.4,4.9,4.3,,7.281818182
용산구,11030,8.6,7.6,7,7.3,7.2,7.4,8,8.5,8.3,7.3,7.5,7.9,8,7.7,6.8,6.7,6.2,6.2,6.4,6,5.4,4.6,4.4,,7.318181818
성동구,11040,7.8,8.7,7.5,7.6,7.8,7.9,8,8.3,7.2,6.8,7.5,7.7,8.2,8.3,7.3,7.1,6.6,7.1,6.6,5.9,5.4,4.5,4.2,,7.454545455
광진구,11050,8.4,8.2,8.3,7.8,7.4,7.4,8.2,8.1,7.2,7.1,7.2,7.5,7.6,7.4,7.2,7.2,6.5,5.9,6.2,5.4,4.8,4.1,3.9,,7.227272727
동대문구,11060,7.4,6.9,6.6,6.7,6.9,6.8,6.8,7.2,6.5,6.4,6.4,6.5,6.4,6.5,5.9,6.1,5.1,4.8,5.1,4.7,4.5,3.7,3.6,,6.25
중랑구,11070,7,7.2,6.4,6.7,6.8,6.6,6.8,7.4,6.9,6.3,6.4,6.7,6.9,6.8,6.7,6.6,6.4,5.7,5.6,5.2,4.7,4.2,4.5,,6.568181818
성북구,11080,7.1,7.1,6.3,7.2,6.7,7,7.1,7.1,6.5,6.2,6.7,6.5,6.2,6,5.2,5.2,4.8,4.4,4.4,4.4,3.9,3.4,3.3,,6.031818182
강북구,11090,7.2,6.9,6.9,6.4,6.2,6.1,6.3,6.9,6.5,6,6.3,6.2,6.5,5.9,5.5,5.2,4.6,4.5,4.3,4.1,3.4,3,2.9,,5.809090909
도봉구,11100,7,6.4,6.1,6.1,6.2,5.5,6,6.2,6.1,5.5,5.8,5.9,5.9,5.8,5.1,5.2,4.7,4.5,4.4,4,3.7,3,3,,5.55
노원구,11110,7.4,7,6.6,6.2,6.1,6,6.4,6.5,5.9,5.5,5.8,6.2,6.1,5.8,5.5,5.5,4.9,4.4,4.1,4,3.8,3.4,3.5,,5.754545455
은평구,11120,7.5,7.4,7.1,7.3,6.7,6.6,6.6,6.6,6.3,6.1,6.4,6.6,6.6,6.6,5.9,5.7,5.3,4.8,5,4.6,4.4,3.4,3.4,,6.222727273
서대문구,11130,8,7.7,7.5,7.1,6.5,6.4,7.2,7.3,6.5,6,6.2,6.5,6.5,6.4,5.7,5.6,5.4,5,4.6,4.8,4.1,3.4,3.5,,6.268181818
마포구,11140,8.9,8.5,8.2,8.7,8.8,8.3,8.7,8.8,8.3,7.7,8.1,8.2,8,7.9,7.5,8.4,6.9,6.2,6.1,5.5,5.3,4.3,4.2,,7.795454545
양천구,11150,6.1,6.3,5.6,5.6,5.7,5.8,5.6,6.1,5.3,5.3,5.1,5.6,5.4,5.4,5.1,5.2,4.7,4.3,4.2,3.7,3.6,3,3,,5.259090909
강서구,11160,7.8,7.4,7.2,7.5,7.1,7.1,7.5,7.6,7.5,7.2,7.5,7.6,7.9,7.7,7.6,7.9,7,6.9,6.5,6.1,5.6,4.7,4.6,,7.340909091
구로구,11170,8.3,8,7.7,7.6,8.2,8.3,8.9,9.4,8.7,7.8,8.3,8.2,8.5,8,7.5,7.3,6.4,6,5.7,5.1,5.1,4.2,4,,7.6
금천구,11180,7.4,7.1,7,6.9,7,6.7,7.1,7.2,6.7,6.3,7,6.9,7.1,6.7,6.6,6.3,5.7,6.2,5.5,5.4,5.6,4.6,5,,6.727272727
영등포구,11190,7.8,8.5,7.9,7.7,8.2,8.6,8.7,8.8,8.4,8.3,8.2,8.5,8.1,8.1,7.8,7.9,7.1,7,7.4,6.8,6.6,5.6,5.3,,8.059090909
동작구,11200,8.3,8.4,8.1,8.2,8,7.9,7.9,8.2,7.8,7.3,7.5,7.8,8,7.8,7.3,7.2,6.4,5.8,5.4,5.3,4.9,4.1,3.9,,7.340909091
관악구,11210,9.1,9.1,8.6,8.9,8.9,8.4,8.7,9.1,8.4,8.1,8.3,8.4,8.6,8.2,7.8,7.7,7.1,6.4,6.2,5.7,5.2,4.4,4.1,,7.972727273
서초구,11220,7.7,7.6,6.7,7.5,7.2,7.3,7.2,7.1,6.7,7.3,7,7.1,7.2,6.9,6.5,6.4,6.1,5.2,5.2,4.9,4.4,3.6,3.2,,6.636363636
강남구,11230,7.2,7.2,6.8,6.4,6.5,6.8,7.1,6.9,6.5,6.3,6.5,6.6,6.7,6.5,6.3,6,5.4,4.9,4.7,4.4,3.9,3.2,3.2,,6.181818182
송파구,11240,7.4,7.4,7.1,7.1,6.5,6.8,6.9,7.5,7.6,7.7,7.1,7.3,7.3,6.7,6.8,6.7,6.3,6,5.6,5.5,4.9,3.9,3.9,,6.818181818
강동구,11250,7,6.6,6.5,6.2,6.1,6.3,6.4,6.9,6.8,7,7.2,7.1,6.8,6.6,6.3,6,5.4,5.6,5.6,5,5.5,4.1,3.6,,6.390909091
