자치구별,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
종로구,16.9,9.1,7.1,10.1,7.3,7.3,15.4,10.9,...,12.9
중구,9.1,9.3,4.9,5.7,9.2,8.4,14.8,13,...,9.1
용산구,14.4,9.8,8.5,8.4,6.7,17.7,18.9,10.7,...,12
성동구,12.3,6.5,8.1,8.9,18.2,16.5,15.2,8.6,...,8.3
광진구,13,8.3,9.5,14.3,13.3,23.3,13.5,7.2,...,14.7
동대문구,8.9,5.3,5.8,13.7,17.1,11.5,18.8,8.3,...,8.5
중랑구,18.2,7.3,3.1,9.7,9,17.3,17.1,14.1,...,9.5
성북구,9.9,6.9,13.3,10.8,18.1,14,11.5,8.1,...,11.3
강북구,8.3,7.5,14.3,9,10.2,5.8,23.2,12.5,...,9
도봉구,9.9,7.6,8.4,10.5,22.5,12.5,19,10.1,...,9.5
노원구,13,5.9,6.8,11.3,7.6,10.4,23.4,14.3,...,9.6
은평구,10.8,6.1,6.9,7.8,7.4,13.5,21.6,11.2,...,10.2
서대문구,14.9,5.9,3,12.8,4.5,19.3,20.4,13.5,...,10.5
마포구,12.5,4.8,10.2,17.8,5.9,6.7,7.5,21.1,...,13.5
양천구,10.6,8.8,6.4,10.6,11.3,12.3,13.8,6.9,...,9.9
강서구,6.3,10.7,8.3,13.2,9.5,6.4,13.2,12.7,...,16.7
구로구,10.1,4,10.4,11.2,13.4,13.4,19.1,16.4,...,15.2
금천구,7.8,11.8,15.8,10,7.7,9.8,12.6,15.7,...,15.2
영등포구,10.9,6.7,6.6,18.6,10.8,14.8,9.1,16.8,...,13.3
동작구,12.2,7.3,7.7,10.4,7.7,22.1,15.1,20.7,...,14.1
관악구,8.4,9.9,11.1,14.6,10.5,13.2,21.3,16.7,...,14.8
서초구,9.6,5,6.9,4.9,3.3,18.1,14.1,11.6,...,23.2
강남구,7.5,9.2,8.8,5.8,7.6,25.3,17.7,26.4,...,21.6
송파구,10.8,10.2,12.6,8.8,19.3,17.3,20.7,15.1,...,20.6
강동구,7.7,12.5,7.3,8.4,12.3,12.1,24,18.5,...,17.5
