자치구별,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
종로구,0.88,0.846,0.778,0.811,0.879,0.857,0.796,0.837,0.86,0.89,0.729,0.79,0.813,0.784,0.646,0.606,0.648,0.522,0.531,0.477
중구,0.913,0.997,0.903,0.942,1.084,0.978,0.921,1.055,1.017,1.121,0.955,1.004,0.946,0.974,0.824,0.737,0.78,0.688,0.634,0.606
용산구,0.951,0.989,0.906,0.965,1.081,1.017,0.939,1.017,1.039,1.098,1.008,0.978,1.005,0.907,0.793,0.747,0.713,0.634,0.664,0.596
성동구,1.1,1.066,0.985,1.035,1.154,1.091,0.971,1.029,1.026,1.077,1.079,1.027,1.095,1.013,0.972,0.909,0.855,0.783,0.764,0.723
광진구,1.035,0.982,0.881,0.945,0.991,0.939,0.891,0.935,0.9,0.957,0.877,0.895,0.903,0.867,0.749,0.713,0.652,0.527,0.525,0.461
동대문구,0.923,0.956,0.879,0.939,1.009,0.993,0.917,0.941,0.975,0.998,0.909,0.914,0.96,0.889,0.822,0.753,0.765,0.699,0.66,0.62
중랑구,0.947,1.008,0.915,0.978,1.046,1.01,0.963,1.01,0.996,1.082,0.991,1.006,1.051,0.995,0.906,0.825,0.777,0.66,0.65,0.659
성북구,1,1.025,0.946,1.012,1.12,1.042,1.001,1.048,1.062,1.044,0.983,0.949,0.991,0.909,0.818,0.737,0.707,0.676,0.656,0.649
강북구,0.988,0.921,0.858,0.886,1.032,0.971,0.971,0.996,1.018,1.051,0.963,0.955,0.922,0.878,0.825,0.647,0.617,0.55,0.541,0.483
도봉구,1.057,1.086,0.964,0.986,1.079,1.015,1.032,1.104,1.079,1.137,0.956,1,1.01,0.947,0.833,0.774,0.697,0.601,0.579,0.573
노원구,1.216,1.197,1.061,1.114,1.21,1.134,1.046,1.1,1.083,1.162,1.057,1.109,1.096,1.068,0.938,0.809,0.776,0.695,0.701,0.716
은평구,1.074,1.044,0.949,0.994,1.07,0.966,0.958,1.02,1.064,1.139,1.024,1.028,1.003,0.943,0.814,0.772,0.697,0.623,0.604,0.613
서대문구,0.999,0.99,0.902,0.92,1.012,0.958,0.896,0.971,0.894,0.967,0.938,0.954,0.913,0.934,0.823,0.727,0.685,0.685,0.635,0.607
마포구,0.931,1.022,0.901,0.967,1.077,0.997,0.917,0.955,0.977,0.991,0.892,0.915,0.986,0.945,0.806,0.733,0.681,0.594,0.587,0.529
양천구,1.049,1.022,0.961,1.019,1.124,1.043,0.947,0.974,1.002,1.055,0.99,1.005,1.034,1.008,0.898,0.771,0.742,0.644,0.645,0.608
강서구,1.102,1.095,1.026,1.064,1.165,1.123,1.067,1.085,1.113,1.151,1.032,1.064,1.129,1.059,0.925,0.826,0.76,0.675,0.617,0.588
구로구,1.131,1.147,1.082,1.156,1.232,1.202,1.124,1.197,1.177,1.258,1.162,1.142,1.169,1.07,0.943,0.838,0.794,0.737,0.737,0.684
금천구,1.028,1.063,0.951,1.052,1.08,1.01,0.974,1.011,1.001,1.104,0.944,1.019,1.086,0.944,0.901,0.796,0.709,0.668,0.612,0.588
영등포구,1.106,1.101,1.05,1.101,1.208,1.116,1.056,1.128,1.103,1.142,0.999,1.025,1.085,1.011,0.884,0.851,0.829,0.705,0.713,0.671
동작구,1.003,1.057,0.97,1.005,1.061,1.008,0.975,0.989,1.001,1.017,0.974,1.007,1.012,0.912,0.831,0.737,0.697,0.655,0.602,0.567
관악구,0.993,0.976,0.91,0.922,1.005,0.942,0.879,0.881,0.897,0.891,0.825,0.834,0.833,0.777,0.662,0.597,0.536,0.474,0.437,0.422
서초구,0.896,0.917,0.843,0.904,0.973,0.972,0.929,1.068,1.025,1.095,1.007,1.014,1.012,0.928,0.799,0.8,0.715,0.656,0.666,0.599
강남구,0.827,0.792,0.73,0.797,0.877,0.823,0.785,0.862,0.855,0.886,0.842,0.863,0.857,0.802,0.706,0.631,0.612,0.537,0.523,0.49
송파구,1.034,0.991,0.931,0.958,1.046,0.996,1,1.058,1.042,1.099,0.973,0.996,1.008,0.958,0.871,0.8,0.77,0.665,0.623,0.598
강동구,1.039,1.038,0.958,0.993,1.073,1.008,1.028,1.096,1.104,1.101,1.006,1.039,1.036,0.938,0.884,0.82,0.758,0.748,0.797,0.719
